morning_east   5 4
morning_west   5 1
afternoon_east 4 3
afternoon_west 4 5
morning_east   2 2
morning_west   2 0
afternoon_east 5 3
afternoon_west 5 6
morning_east   6 1
morning_west   6 1
afternoon_east 4 4
afternoon_west 4 4
morning_east   8 5
morning_west   8 3
afternoon_east 3 2
afternoon_west 3 3
morning_east   4 5
morning_west   4 3
afternoon_east 5 4
afternoon_west 5 8
morning_east   6 3
morning_west   6 0
afternoon_east 5 1
afternoon_west 5 3
morning_east   7 4
morning_west   7 3
afternoon_east 4 3
afternoon_west 4 2
morning_east   7 2
morning_west   7 0
afternoon_east 5 1
afternoon_west 5 3
morning_east   8 5
morning_west   8 4
afternoon_east 5 3
afternoon_west 5 4
morning_east   4 4
morning_west   4 3
afternoon_east 4 1
afternoon_west 4 5
